Fig1_ScaledRank,Gene.Symbol,ScaledRank_HeLa,ScaledRank_HEK293,WT_EBSStoUT_HeLa,ATG7minWT_EBSStoUT_HeLa,priority_HeLa,WT_EBSStoUT_HEK293,ATG7minWT_EBSStoUT,priority_HEK293,prot_MinRank
0.000114312,MAP1LC3B2,0.000127796,0.000410172,-1.344339774,1.537303443,1.344339774,-1.19387745,1.032220772,1.032220772,0.000127796
0.000228624,NDUFB5,0.300191693,0.000136724,-0.008500969,-0.267350263,0,-1.268364622,1.8435181,1.268364622,0.000136724
0.000342936,HBE1,0.000255591,NA,-1.306937422,1.668576531,1.306937422,NA,NA,NA,0.000255591
0.000457247,RPLP1,0.229265176,0.000273448,-0.017960931,0.070215351,0.017960931,-1.261552684,1.907431184,1.261552684,0.000273448
0.000571559,GABARAPL2,0.000383387,0.000957069,-1.305755003,1.290545403,1.290545403,-0.94589163,0.952186723,0.94589163,0.000383387
0.000685871,GPT2,0.000511182,0.247744053,-1.300499033,1.269766909,1.269766909,-0.560780728,0.010193442,0.010193442,0.000511182
0.000800183,FICD,NA,0.000546896,NA,NA,NA,-1.093290311,0.989842841,0.989842841,0.000546896
0.000914495,RAB18,0.000638978,0.026251025,-1.185539812,1.133810704,1.133810704,-0.306289297,0.384282817,0.306289297,0.000638978
0.001028807,TTYH3,NA,0.00068362,NA,NA,NA,-2.468471939,0.978341695,0.978341695,0.00068362
0.001143118,TEX264,0.000766773,0.002734482,-1.13095873,1.180282464,1.13095873,-0.659791076,0.725680038,0.659791076,0.000766773
0.00125743,GFAP,0.999361022,0.000820345,0.082994658,-0.146665419,0,-0.977717397,1.017649939,0.977717397,0.000820345
0.001371742,RAB3D,0.000894569,0.041974296,-1.162941515,1.112588031,1.112588031,-0.23024825,0.332042705,0.23024825,0.000894569
0.001486054,RHAG,0.001022364,NA,-1.098423269,1.379307537,1.098423269,NA,NA,NA,0.001022364
0.001600366,CCPG1,0.039488818,0.001093793,-0.811475398,0.228226083,0.228226083,-1.533930619,0.926831649,0.926831649,0.001093793
0.001714678,RAB3A,0.00115016,NA,-1.010206112,1.04414512,1.010206112,NA,NA,NA,0.00115016
0.001828989,TAGLN3,NA,0.001230517,NA,NA,NA,-1.220015853,0.863383811,0.863383811,0.001230517
0.001943301,RAB43,0.001277955,NA,-1.149526308,0.962434784,0.962434784,NA,NA,NA,0.001277955
0.002057613,MYL6,0.184025559,0.001367241,-0.095471096,0.047910746,0.047910746,-0.820055062,0.896082219,0.820055062,0.001367241
0.002171925,FAM83A,0.001405751,NA,-0.93171713,1.364345744,0.93171713,NA,NA,NA,0.001405751
0.002286237,DNAJC12,0.942875399,0.001503965,-0.063041455,-0.49883078,0,-1.314622696,0.795484836,0.795484836,0.001503965
0.002400549,IGFBP3,0.001533546,NA,-3.102830372,0.909928752,0.909928752,NA,NA,NA,0.001533546
0.002514861,JPT1,0.942364217,0.001640689,-0.12251203,-0.331420386,0,-1.081627837,0.794976332,0.794976332,0.001640689
0.002629172,BSCL2,0.001661342,NA,-0.981826852,0.890909439,0.890909439,NA,NA,NA,0.001661342
0.002743484,KIAA1143,0.754632588,0.001777413,-0.020531154,-0.32371529,0,-0.781297859,0.916620854,0.781297859,0.001777413
0.002857796,AOC1,0.001789137,NA,-1.534066415,0.759629792,0.759629792,NA,NA,NA,0.001789137
0.002972108,RPLP0,0.147859425,0.001914137,-0.140079273,0.074477825,0.074477825,-1.715727118,0.770797963,0.770797963,0.001914137
0.00308642,VMA21,0.001916933,0.122094613,-0.801963947,0.741758107,0.741758107,-0.091687191,0.186186203,0.091687191,0.001916933
0.003200732,MYL4,0.002044728,0.077522559,-0.721565808,1.005677521,0.721565808,-0.148472709,0.301617477,0.148472709,0.002044728
0.003315043,SLITRK5,0.335207668,0.002050861,-0.084454956,-0.050522821,0,-0.723831229,1.14007429,0.723831229,0.002050861
0.003429355,CNTNAP3,0.002172524,NA,-0.726342439,0.703977697,0.703977697,NA,NA,NA,0.002172524
0.003543667,GTSE1,0.913610224,0.002187585,-0.001806054,-0.283572962,0,-1.186064156,0.6946897,0.6946897,0.002187585
0.003657979,RPL10,0.002300319,0.135493574,-0.68287985,0.931631904,0.68287985,-0.230261789,0.079933467,0.079933467,0.002300319
0.003772291,RPL10,0.002300319,0.421520372,-0.68287985,0.931631904,0.68287985,0.058126619,-0.067920073,0,0.002300319
0.003886603,SLC43A3,0.704536741,0.00232431,-0.088269812,-0.210829481,0,-0.759819972,0.682786293,0.682786293,0.00232431
0.004000914,TGFB2,0.002428115,NA,-0.935028456,0.668555002,0.668555002,NA,NA,NA,0.002428115
0.004115226,POLR1D,NA,0.002461034,NA,NA,NA,-0.84418344,0.666544338,0.666544338,0.002461034
0.004229538,FCGR2C,0.002555911,NA,-0.664472793,0.784699537,0.664472793,NA,NA,NA,0.002555911
0.00434385,PLEC,0.563322684,0.002597758,-0.076264942,-0.129616833,0,-0.660343453,1.095411765,0.660343453,0.002597758
0.004458162,PLEC,0.563450479,0.002597758,0.07444769,-0.095539101,0,-0.660343453,1.095411765,0.660343453,0.002597758
0.004572474,PLEC,0.563578275,0.002597758,0.154777563,-0.115660673,0,-0.660343453,1.095411765,0.660343453,0.002597758
0.004686786,PLEC,0.56370607,0.002597758,-0.086834228,-0.061079402,0,-0.660343453,1.095411765,0.660343453,0.002597758
0.004801097,PLEC,0.997060703,0.002597758,0.253891835,0.000757265,0,-0.660343453,1.095411765,0.660343453,0.002597758
0.004915409,ITIH2,0.002683706,0.406617446,-2.541941688,0.657452164,0.657452164,0.547758643,-0.687377824,0,0.002683706
0.005029721,C4B,0.002811502,NA,-2.275748857,0.638033354,0.638033354,NA,NA,NA,0.002811502
0.005144033,JPT2,0.866070288,0.002871206,0.253532219,-0.191950688,0,-0.65076141,1.682016084,0.65076141,0.002871206
0.005258345,SLC7A11,0.002939297,NA,-0.6250994,0.71267746,0.6250994,NA,NA,NA,0.002939297
0.005372657,OTUD5,0.770734824,0.00300793,-0.821575885,-0.175322865,0,-1.615771328,0.647330366,0.647330366,0.00300793
0.005486968,KEAP1,0.003067093,0.560705496,-0.622059925,0.650088131,0.622059925,-0.298915753,-0.062249822,0,0.003067093
0.00560128,PTTG1,0.348626198,0.003144654,-0.089773996,-0.544312077,0,-0.793686937,0.646132395,0.646132395,0.003144654
0.005715592,TMF1,0.003194888,0.02337982,-0.733078048,0.614715105,0.614715105,-0.323464793,0.33794622,0.323464793,0.003194888
0.005829904,CDCA3,0.802811502,0.003281378,-0.16544623,-0.150507585,0,-0.644749173,0.728666489,0.644749173,0.003281378
0.005944216,ATG2A,0.003322684,0.102406344,-0.828393888,0.607598487,0.607598487,-0.252072726,0.113679282,0.113679282,0.003322684
0.006058528,GPRIN1,0.650095847,0.003418102,-0.151043906,-0.311679148,0,-0.612098483,0.666749032,0.612098483,0.003418102
0.00617284,C1orf131,0.003450479,0.126743232,-0.603685869,0.659186422,0.603685869,-0.090284214,0.086779781,0.086779781,0.003450479
0.006287151,TSPAN7,NA,0.003554826,NA,NA,NA,-1.370983173,0.605751601,0.605751601,0.003554826
0.006401463,RAB32,0.003578275,0.090511348,-0.636110698,0.602658324,0.602658324,-0.129339295,0.189396826,0.129339295,0.003578275
0.006515775,EVI5L,0.760383387,0.00369155,0.149311169,-0.72053818,0,-0.603499566,0.677666,0.603499566,0.00369155
0.006630087,NAP1L1,0.00370607,0.010664479,-0.931738155,0.601068229,0.601068229,-0.735235945,0.450968209,0.450968209,0.00370607
0.006744399,NAP1L1,0.00370607,0.487694832,-0.931738155,0.601068229,0.601068229,0.065982146,0.291764903,0,0.00370607
0.006858711,XRCC5,0.378913738,0.003828275,0.287050468,-0.115581052,0,-0.807825563,0.602398938,0.602398938,0.003828275
0.006973022,GLDC,0.003833866,0.414000547,-0.718994692,0.597622701,0.597622701,0.256657549,-0.806468108,0,0.003833866
0.007087334,B4GALNT1,0.003961661,NA,-0.89526628,0.596167143,0.596167143,NA,NA,NA,0.003961661
0.007201646,RPS7,0.484345048,0.003964999,-0.13429031,-0.064111254,0,-0.601338544,0.878566618,0.601338544,0.003964999
0.007315958,RPS7,0.992971246,0.003964999,-1.570415521,-0.153414504,0,-0.601338544,0.878566618,0.601338544,0.003964999
0.00743027,RNPC3,0.004089457,0.78274542,-0.58411121,0.696356739,0.58411121,0.282141165,-0.180043281,0,0.004089457
0.007544582,YAP1,0.443578275,0.004101723,0.027864753,-0.045479101,0,-0.598543931,0.621912079,0.598543931,0.004101723
0.007658893,CHM,0.004217252,0.073967733,-0.561902672,0.634398111,0.561902672,-0.154879016,0.259277213,0.154879016,0.004217252
0.007773205,TLN2,0.080127796,0.004238447,-0.142333619,0.150097634,0.142333619,-0.970182901,0.572479006,0.572479006,0.004238447
0.007887517,EIF3G,0.004345048,0.053595844,-0.947878757,0.550424132,0.550424132,-0.54411611,0.19908086,0.19908086,0.004345048
0.008001829,EIF3G,0.004345048,0.190730107,-0.947878757,0.550424132,0.550424132,-0.287056545,0.039955606,0.039955606,0.004345048
0.008116141,GON7,0.831182109,0.004375171,0.725432951,-0.618559327,0,-0.568790645,0.804659555,0.568790645,0.004375171
0.008230453,TMEM246,0.004472843,NA,-0.6356302,0.539464412,0.539464412,NA,NA,NA,0.004472843
0.008344765,DAB2,0.49827476,0.004511895,0.399248849,-0.325385186,0,-0.566288445,1.234356244,0.566288445,0.004511895
0.008459076,CALCOCO2,0.004600639,0.123872026,-0.719268124,0.536372098,0.536372098,-0.506878464,0.089574377,0.089574377,0.004600639
0.008573388,CERCAM,NA,0.004648619,NA,NA,NA,-1.70852145,0.556116988,0.556116988,0.004648619
0.0086877,ITIH4,0.004728435,NA,-0.957028291,0.535692799,0.535692799,NA,NA,NA,0.004728435
0.008802012,SLC39A14,0.028115016,0.004785343,-0.393530823,0.270793501,0.270793501,-1.012049915,0.555989245,0.555989245,0.004785343
0.008916324,A2M,0.00485623,0.363412633,-1.61162701,0.533814174,0.533814174,0.163397177,-0.460815092,0,0.00485623
0.009030636,WEE1,0.416996805,0.004922067,0.456359208,-0.360985493,0,-0.612218008,0.550384091,0.550384091,0.004922067
0.009144947,B4GALT2,0.004984026,0.09693738,-1.08009345,0.533695075,0.533695075,-0.468585958,0.12019702,0.12019702,0.004984026
0.009259259,SQSTM1,0.008051118,0.005058791,-0.476062818,1.730862316,0.476062818,-0.549147172,0.707637898,0.549147172,0.005058791
0.009373571,GABARAPL1,0.005111821,NA,-0.627033745,0.516368911,0.516368911,NA,NA,NA,0.005111821
0.009487883,BUB1,0.30057508,0.005195515,-0.237334629,-0.762031556,0,-1.331589732,0.548966064,0.548966064,0.005195515
0.009602195,C6orf132,0.005239617,NA,-1.326295252,0.513572871,0.513572871,NA,NA,NA,0.005239617
0.009716507,WDR62,0.141086262,0.00533224,-0.310221872,0.079211048,0.079211048,-0.543817171,0.89123918,0.543817171,0.00533224
0.009830818,VTN,0.005367412,0.366010391,-0.544718986,0.512639491,0.512639491,0.337266559,-0.370864583,0,0.005367412
0.00994513,TMBIM6,0.2085623,0.005468964,-0.031884208,0.085235287,0.031884208,-0.706597487,0.542849217,0.542849217,0.005468964
0.010059442,RNF187,0.005495208,NA,-1.283862982,0.510105501,0.510105501,NA,NA,NA,0.005495208
0.010173754,PAIP2,0.808690096,0.005605688,-0.369535554,-0.330809725,0,-0.777853235,0.541666502,0.541666502,0.005605688
0.010288066,TMEM41A,0.005623003,0.203308723,-0.507476787,0.506436208,0.506436208,-0.033566548,0.03755055,0.033566548,0.005623003
0.010402378,NFATC2IP,0.707220447,0.005742412,0.28142418,-0.217316374,0,-0.539503035,0.979673487,0.539503035,0.005742412
0.01051669,NEK3,0.005750799,0.475116215,-0.504510209,0.660980053,0.504510209,-0.22874718,-0.182259287,0,0.005750799
0.010631001,GAS6,0.005878594,NA,-1.187318489,0.50414937,0.50414937,NA,NA,NA,0.005878594
0.010745313,MTSS2,0.06057508,0.005879136,-0.572222696,0.174161898,0.174161898,-0.539028109,0.574739233,0.539028109,0.005879136
0.010859625,HSPB8,0.00600639,NA,-0.540618553,0.500459474,0.500459474,NA,NA,NA,0.00600639
0.010973937,NBDY,NA,0.00601586,NA,NA,NA,-0.534035387,0.917953819,0.534035387,0.00601586
0.011088249,YIPF4,0.006134185,0.007929997,-0.499485687,0.615668174,0.499485687,-0.491669949,0.606051633,0.491669949,0.006134185
0.011202561,C1orf174,0.685111821,0.006152584,-0.077774054,-0.074416551,0,-0.529158681,0.597764892,0.529158681,0.006152584
0.011316872,TNFSF9,0.006261981,NA,-0.499062188,0.637853685,0.499062188,NA,NA,NA,0.006261981
0.011431184,ZYX,0.575335463,0.006289308,-0.072236021,-0.086099955,0,-0.524973916,0.56570992,0.524973916,0.006289308
0.011545496,FYCO1,0.006389776,0.057560842,-0.50276991,0.497799554,0.497799554,-0.18964695,0.317525311,0.18964695,0.006389776
0.011659808,NADK,0.342875399,0.006426032,-0.524972128,-0.279817644,0,-0.670500324,0.524508035,0.524508035,0.006426032
0.01177412,YIPF3,0.006517572,0.00902379,-0.532087434,0.497053801,0.497053801,-0.471940987,0.553327915,0.471940987,0.006517572
0.011888432,LRP8,0.051373802,0.006562756,-0.244020716,0.1931495,0.1931495,-0.643062702,0.520588974,0.520588974,0.006562756
0.012002743,TF,0.006645367,0.365053322,-2.121178186,0.489872675,0.489872675,-0.222876004,-0.767282749,0,0.006645367
0.012117055,ZNF280D,0.623003195,0.00669948,0.087351569,-0.327640946,0,-0.698780746,0.519086704,0.519086704,0.00669948
0.012231367,TMOD2,0.006773163,0.914820891,-2.168357104,0.489838937,0.489838937,0.052335058,-0.024196269,0,0.006773163
0.012345679,RELB,0.502492013,0.006836205,-0.514039266,-0.435254509,0,-0.58041607,0.518226758,0.518226758,0.006836205
0.012459991,TIMP3,0.006900958,0.078069456,-0.489576799,0.61943292,0.489576799,-1.062367285,0.147304129,0.147304129,0.006900958
0.012574303,KANK2,0.614185304,0.006972929,0.052234452,0.007846731,0,-0.765654707,0.513444021,0.513444021,0.006972929
0.012688615,SERPINE1,0.007028754,NA,-1.423306646,0.488618529,0.488618529,NA,NA,NA,0.007028754
0.012802926,CSPP1,0.582875399,0.007109653,0.163454976,-0.059968827,0,-0.697077797,0.504807815,0.504807815,0.007109653
0.012917238,COL1A1,0.00715655,NA,-0.983179949,0.488329451,0.488329451,NA,NA,NA,0.00715655
0.01303155,ZNRF2,0.714632588,0.007246377,1.259151794,-0.137254849,0,-0.504704457,0.569109859,0.504704457,0.007246377
0.013145862,NDST1,0.007284345,0.115805305,-0.636870065,0.48788163,0.48788163,-0.100019166,0.190108931,0.100019166,0.007284345
0.013260174,INO80B,0.837316294,0.007383101,-0.363776374,-0.366725157,0,-0.502907702,0.573713538,0.502907702,0.007383101
0.013374486,SLC1A4,0.007412141,0.450779327,-0.487789795,0.488482498,0.487789795,0.18943733,-0.303227139,0,0.007412141
0.013488797,TOGARAM1,NA,0.007519825,NA,NA,NA,-0.500759792,0.676736262,0.500759792,0.007519825
0.013603109,DSE,0.007539936,0.079983593,-0.539148442,0.48579213,0.48579213,-0.144203029,0.223116238,0.144203029,0.007539936
