Fig1and2_Final_Rank,Gene.Symbol,Fig1_ScaledRank_Auto,Fig2_ScaledRank_Prox,Fig1and2_SumRank,Compartment,LIR,known_autophagy
1,MAP1LC3B2,0.000114312,0.000358102,0.000472414,Cytosol,None,No
2,GABARAPL2,0.000571559,0.005908684,0.006480243,Cytosol,None,autophagy
3,CCPG1,0.001600366,0.007341092,0.008941458,ER,LIR,autophagy
4,RAB18,0.000914495,0.008236347,0.009150842,Cytosol,None,No
5,TEX264,0.001143118,0.009131603,0.010274721,ER,LIR,autophagy
6,RAB32,0.006401463,0.004297225,0.010698688,Cytosol,None,No
7,YIPF4,0.011088249,0.001432408,0.012520657,Golgi,LIR,No
8,SQSTM1,0.009259259,0.003581021,0.01284028,Cytosol,LIR,autophagy
9,GOLIM4,0.016346594,0.003939123,0.020285716,Golgi,None,No
10,ATG2A,0.005944216,0.017905103,0.023849319,Cytosol,None,autophagy
11,RAB3D,0.001371742,0.025425246,0.026796988,Cytosol,None,No
12,BSCL2,0.002629172,0.025067144,0.027696317,ER,None,No
13,FN1,0.027091907,0.000895255,0.027987162,Cytosol,None,No
14,PDXDC1,0.027663466,0.002506714,0.03017018,Golgi,None,No
15,CHM,0.007658893,0.02614145,0.033800344,Cytosol,None,No
16,CHML,0.018861454,0.016114593,0.034976047,Cytosol,None,No
17,RAB3A,0.001714678,0.034019696,0.035734373,Cytosol,None,No
18,SEC62,0.023433928,0.015040286,0.038474214,ER,LIR*,No
19,CALCOCO1,0.0173754,0.026499552,0.043874952,Cytosol,LIR*,No
20,NDUFA8,0.034522176,0.009668756,0.044190932,Mitochondria,None,No
21,RETSAT,0.02297668,0.022202328,0.045179008,ER,None,No
22,SYAP1,0.01611797,0.029185318,0.045303288,Cytosol,None,No
23,RABGAP1,0.024119799,0.023634736,0.047754535,Cytosol,LIR,No
24,RHEB,0.030864198,0.018084154,0.048948352,Cytosol,None,No
25,ATG2B,0.036465478,0.015756491,0.052221968,Cytosol,None,autophagy
26,FYCO1,0.011545496,0.041181737,0.052727233,Endosome,None,autophagy
27,FAM177A1,0.05086877,0.004118174,0.054986944,NA,None,No
28,SLC35A1,0.019318701,0.036884512,0.056203214,Golgi,None,No
29,RAB29,0.017032465,0.039570278,0.056602742,NA,None,No
30,MFSD12,0.048239598,0.008415398,0.056654996,NA,None,No
31,SAR1B,0.058870599,0.004655327,0.063525926,NA,None,No
32,AHNAK2,0.014174668,0.049418084,0.063592753,Nucleus,None,No
33,ATG4B,0.032350251,0.03133393,0.063684182,Cytosol,None,autophagy
34,RAB21,0.031321445,0.032587287,0.063908732,Cytosol,None,No
35,PTTG1IP,0.046410608,0.017726052,0.06413666,NA,None,No
36,SNX3,0.065272062,0.000716204,0.065988266,Endosome,None,No
37,YIF1B,0.050297211,0.017188899,0.06748611,NA,None,No
38,BSDC1,0.050754458,0.020590868,0.071345327,NA,None,No
39,RAB7A,0.04469593,0.026678603,0.071374534,Endosome,None,autophagy
40,ATP6AP1,0.031550069,0.042076992,0.073627061,NA,None,No
41,RHOA,0.044124371,0.034556849,0.07868122,Cytosol,None,No
42,MYDGF,0.049954275,0.030796777,0.080751052,NA,None,No
43,RAB11B,0.034293553,0.046732319,0.081025872,Endosome,None,No
44,TM9SF2,0.051326017,0.030617726,0.081943743,NA,None,No
45,ATAD3A,0.068815729,0.013786929,0.082602659,Mitochondria,None,No
46,APOL2,0.065500686,0.019516562,0.085017248,Cytosol,None,No
47,CLCC1,0.047210791,0.038675022,0.085885813,NA,None,No
48,GOSR1,0.048468221,0.03831692,0.086785142,Golgi,None,No
49,RAB2B,0.073959762,0.014503133,0.088462896,Cytosol,None,No
50,NUCB1,0.052812071,0.036168308,0.088980379,Golgi,None,No
51,CD44,0.032007316,0.058370636,0.090377952,Plasma.Membrane,LIR,No
52,LRPAP1,0.01920439,0.07126231,0.090466699,NA,None,No
53,RCN2,0.038866027,0.051745748,0.090611774,ER,None,No
54,CD63,0.068358482,0.022381379,0.090739861,Lysosome,None,No
55,TMX3,0.078417924,0.013607878,0.092025802,ER,None,No
56,ATL3,0.074874257,0.017547001,0.092421258,ER,None,No
57,,0.070873342,0.021665175,0.092538517,NA,None,No
58,HMOX1,0.026291724,0.066606983,0.092898707,ER,None,No
59,RAB30,0.034979424,0.059265891,0.094245315,Cytosol,None,No
60,CTPS1,0.035208048,0.06087735,0.096085398,Cytosol,None,No
61,SPCS3,0.042638317,0.053536258,0.096174575,ER,None,No
62,RAB24,0.090192044,0.008952551,0.099144595,Cytosol,None,autophagy
63,ATG13,0.070530407,0.028827216,0.099357623,NA,LIR,autophagy
64,CALCOCO2,0.008459076,0.090957923,0.099416999,Cytosol,None,autophagy
65,NSDHL,0.032807499,0.066965085,0.099772584,ER,None,No
66,SDF4,0.090534979,0.012533572,0.103068551,Golgi,None,No
67,CALR,0.058641975,0.044583706,0.103225682,ER,LIR,No
68,STK11IP,0.04526749,0.058907789,0.104175278,Cytosol,None,No
69,SNX12,0.102537723,0.00179051,0.104328233,Cytosol,None,No
70,XXYLT1,0.024691358,0.080393912,0.10508527,ER,None,No
71,RAB31,0.073731139,0.033482543,0.107213681,Golgi,None,No
72,POR,0.046639232,0.060698299,0.107337531,ER,None,No
73,NSMAF,0.056355738,0.051029543,0.107385282,NA,None,No
74,AIFM2,0.067672611,0.041360788,0.109033399,NA,None,No
75,ATP6AP2,0.087562872,0.022918532,0.110481403,Cytosol,None,No
76,TBC1D25,0.103337906,0.007878245,0.111216151,NA,None,No
77,A2M,0.008916324,0.103312444,0.112228768,NA,None,No
78,AGPAT3,0.076588935,0.037600716,0.114189651,NA,None,No
79,NDST1,0.013145862,0.101521934,0.114667796,Golgi,None,No
80,GOSR2,0.033607682,0.082363474,0.115971155,Golgi,None,No
81,TMEM43,0.105852766,0.01038496,0.116237726,NA,None,No
82,C16orf58,0.039437586,0.076991943,0.116429528,NA,None,No
83,SNAP29,0.045724737,0.071620412,0.117345149,Cytosol,None,No
84,PSAP,0.099108368,0.018263205,0.117371573,Lysosome,None,No
85,ACSL3,0.089734797,0.027931961,0.117666757,NA,None,No
86,CLPTM1L,0.04218107,0.075917637,0.118098706,NA,None,No
87,TGFB2,0.004000914,0.114234557,0.118235471,NA,None,No
88,TMEM115,0.047668038,0.072157565,0.119825603,Golgi,None,No
89,RDH11,0.076474623,0.0435094,0.119984023,ER,None,No
90,ATP6V1G1,0.0347508,0.087376902,0.122127703,Lysosome,None,No
91,RAB8A,0.082075903,0.040286482,0.122362385,Endosome,None,No
92,PGRMC1,0.057841792,0.065353626,0.123195418,ER,None,No
93,GPX8,0.087677183,0.037242614,0.124919798,NA,None,No
94,PTPN1,0.062299954,0.063205013,0.125504968,Cytosol,LIR,No
95,MAN1B1,0.098422497,0.031871083,0.13029358,ER,None,No
96,TXNDC5,0.057727481,0.073948075,0.131675556,ER,None,No
97,RPL10,0.003657979,0.128379588,0.132037567,NA,None,No
98,TAX1BP1,0.01428898,0.118531782,0.132820762,NA,LIR,autophagy
99,HTATIP2,0.072816644,0.061056401,0.133873045,Cytosol,None,No
100,ILVBL,0.05395519,0.08003581,0.133991,ER,None,No
101,REEP3,0.037494284,0.096687556,0.13418184,ER,None,No
102,RAB12,0.047096479,0.088272158,0.135368637,Endosome,None,No
103,GLA,0.134887974,0.001074306,0.135962281,Lysosome,None,No
104,CHMP7,0.10608139,0.030080573,0.136161963,Cytosol,None,No
105,MTCH2,0.080932785,0.056401074,0.137333859,Mitochondria,None,No
106,EPHX1,0.072245085,0.065532677,0.137777761,ER,None,No
107,MICOS10,0.122085048,0.016472695,0.138557743,Mitochondria,None,No
108,SCARB1,0.016003658,0.124440466,0.140444124,Plasma.Membrane,None,No
109,ATP5F1B,0.086648377,0.05568487,0.142333247,Mitochondria,None,No
110,DDHD2,0.062528578,0.080752014,0.143280592,NA,LIR,No
