Fig2_ScaledRank,Gene.Symbol,ScaledRank_LC3B,ScaledRank_GABARAPL2,WT_EBSSBafAtoUT_LC3B,LDSminWT_EBSSBafAtoUT_LC3B,priority_LC3B,WT_EBSSBafAtoUT_GABARAPL2,LDSminWT_EBSSBafAtoUT_GABARAPL2,priority_GABARAPL2,prot_MinRank
0.000179051,WIPI2,0.000186706,0.142857143,1.995097051,-1.811430287,1.811430287,1.731140153,-0.079847612,0.079847612,0.000186706
0.000358102,MAP1LC3B2,0.056385362,0.00036075,0.462442929,-0.866452135,0.462442929,1.16828272,-0.829079536,0.829079536,0.00036075
0.000537153,CTSC,0.000373413,0.066378066,2.017636014,-1.551387651,1.551387651,0.301609635,-0.209339627,0.209339627,0.000373413
0.000716204,SNX3,0.000560119,0.029220779,1.508237319,-1.625415025,1.508237319,1.282978696,-0.352429617,0.352429617,0.000560119
0.000895255,FN1,0.07729649,0.000721501,1.071630058,-0.376177006,0.376177006,1.108384555,-0.775232193,0.775232193,0.000721501
0.001074306,GLA,0.000746826,NA,1.984746239,-1.489178365,1.489178365,NA,NA,NA,0.000746826
0.001253357,GGH,0.000933532,0.020562771,1.731032891,-1.384313455,1.384313455,0.445942197,-0.427056023,0.427056023,0.000933532
0.001432408,YIPF4,0.045929798,0.001082251,0.586892451,-0.527671868,0.527671868,1.076074522,-0.73812904,0.73812904,0.001082251
0.001611459,LIPA,0.001120239,NA,1.937254172,-1.380264564,1.380264564,NA,NA,NA,0.001120239
0.00179051,SNX12,0.001306945,0.031024531,1.374993033,-1.269383841,1.269383841,0.888230237,-0.339717645,0.339717645,0.001306945
0.001969561,FSTL1,0.03678118,0.001443001,1.489758557,-0.592403784,0.592403784,1.782011359,-0.710388499,0.710388499,0.001443001
0.002148612,VAMP7,0.001493652,0.178571429,1.260702823,-1.43305915,1.260702823,0.045152291,-0.092774421,0.045152291,0.001493652
0.002327663,COX4I1,0.001680358,NA,1.485550145,-1.251690195,1.251690195,NA,NA,NA,0.001680358
0.002506714,PDXDC1,0.071882001,0.001803752,0.686337646,-0.389168407,0.389168407,1.452242461,-0.697185017,0.697185017,0.001803752
