"Reference","Gene.Symbol","Annotation","p.val_1_control_EBSS-0_control_UT","log2FC_1_control_EBSS-0_control_UT","0_control_UT","q.val_1_control_EBSS-0_control_UT","sig_1_control_EBSS-0_control_UT","p.val_2_LIR_UT-0_control_UT","log2FC_2_LIR_UT-0_control_UT","1_control_EBSS","q.val_2_LIR_UT-0_control_UT","sig_2_LIR_UT-0_control_UT","2_LIR_UT","p.val_2_LIR_UT-1_control_EBSS","log2FC_2_LIR_UT-1_control_EBSS","q.val_2_LIR_UT-1_control_EBSS","sig_2_LIR_UT-1_control_EBSS","p.val_anova","q.val_anova","anova_sig","p.val_2_LIR_EBSS-0_control_UT","log2FC_2_LIR_EBSS-0_control_UT","2_LIR_EBSS","q.val_2_LIR_EBSS-0_control_UT","sig_2_LIR_EBSS-0_control_UT","p.val_2_LIR_EBSS-1_control_EBSS","log2FC_2_LIR_EBSS-1_control_EBSS","q.val_2_LIR_EBSS-1_control_EBSS","sig_2_LIR_EBSS-1_control_EBSS","p.val_2_LIR_EBSS-2_LIR_UT","log2FC_2_LIR_EBSS-2_LIR_UT","q.val_2_LIR_EBSS-2_LIR_UT","sig_2_LIR_EBSS-2_LIR_UT","cluster","0_control_UT_1","0_control_UT_2","1_control_EBSS_1","1_control_EBSS_2","1_control_EBSS_3","2_LIR_UT_1","2_LIR_UT_2","2_LIR_EBSS_1","2_LIR_EBSS_2","2_LIR_EBSS_3"
"sp|A0A0B4J2F2|SIK1B_HUMAN","SIK1B","Probable serine/threonine-protein kinase SIK1B OS=Homo sapiens OX=9606 GN=SIK1B PE=3 SV=1",0.0429860656813852,-0.347908283411574,15.7521417291392,0.0812110644760139,"n.s.",0.275986301691464,-0.0977103567385829,15.4042334457276,0.464349681031106,"n.s.",15.6544313724006,0.101202097441288,0.250197926672991,0.13544188753012,"n.s.",0.0282663656377401,0.0382309733221556,"sig",0.0341747081671469,-0.367109540200856,15.3850321889384,0.0771023473640805,"n.s.",0.865478979231226,-0.0192012567892821,0.890587014939952,"n.s.",0.0798819900357544,-0.269399183462273,0.154681105795915,"n.s.",1,15.7147793351327,15.7895041231458,15.5575811395113,15.328471983705,15.3266472139666,15.6002370605428,15.7086256842584,15.477932010253,15.43762509266,15.2395394639021
"sp|A0AV02-2|S12A8_HUMAN","SLC12A8","Isoform 2 of Solute carrier family 12 member 8 OS=Homo sapiens OX=9606 GN=SLC12A8",0.114741831571647,0.366998871067629,13.5292151375218,0.169299517878166,"n.s.",0.881514421828075,0.0273092936144455,13.8962140085895,0.933170396383372,"n.s.",13.5565244311363,0.110512852034301,-0.339689577453184,0.146402877936116,"n.s.",0.0533061011700879,0.0661969575392977,"n.s.",0.572175388539978,-0.0874653647782626,13.4417497727436,0.636463422849455,"n.s.",0.0240588563056018,-0.454464235845892,0.0501094805848635,"n.s.",0.408309191877927,-0.114774658392708,0.508997556597128,"n.s.",0,13.3971838170246,13.6612464580191,14.1022282169484,13.8186057638194,13.7678080450006,13.6501021078354,13.4629467544371,13.4418122951594,13.3112335651993,13.5722034578721
"sp|A0AVF1|IFT56_HUMAN","TTC26","Intraflagellar transport protein 56 OS=Homo sapiens OX=9606 GN=TTC26 PE=2 SV=1",0.0736957878663052,0.289794453618399,14.8064201374365,0.120312977105467,"n.s.",0.701784947312531,0.0326641583545104,15.0962145910549,0.8118272522259,"n.s.",14.839084295791,0.0687649399937267,-0.257130295263888,0.0974351901075133,"n.s.",0.00884637055885965,0.0145296414330734,"sig",0.0201665072336667,0.452369958200652,15.2587900956372,0.0565803104994862,"n.s.",0.166907043286559,0.162575504582254,0.226031384031052,"n.s.",0.0152833708465728,0.419705799846142,0.0571494266646453,"n.s.",2,14.8799851367199,14.7328551381531,15.2149385982622,14.9680741765812,15.1056309983214,14.8317787187924,14.8463898727896,15.162009681012,15.2327545875445,15.381606018355
"sp|A0AVT1|UBA6_HUMAN","UBA6","Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens OX=9606 GN=UBA6 PE=1 SV=1",0.00280780803118638,0.412558779517283,19.7353588866877,0.0168724149439226,"n.s.",0.030532799934035,0.140368005064865,20.147917666205,0.173234826744377,"n.s.",19.8757268917526,0.00760155364220788,-0.272190774452419,0.0175718262009777,"n.s.",6.24476975638596e-05,0.000429684628288714,"sig",0.000880315885189554,0.437766999040942,20.1731258857286,0.0176780067128592,"n.s.",0.54990042294271,0.0252082195236589,0.615392115604085,"n.s.",0.00178127346036599,0.297398993976078,0.0249751326013618,"n.s.",2,19.7589701464846,19.7117476268908,20.1370211192124,20.0980799697901,20.2086519096125,19.8671934187424,19.8842603647627,20.2117526702949,20.1685852909448,20.1390396959463
"sp|A0FGR8-6|ESYT2_HUMAN","ESYT2","Isoform 6 of Extended synaptotagmin-2 OS=Homo sapiens OX=9606 GN=ESYT2",0.374626841270898,0.109726411181978,18.5613466380267,0.443916230497108,"n.s.",0.058276811424251,-0.365515766161327,18.6710730492087,0.222143587751299,"n.s.",18.1958308718654,0.00964338651586853,-0.475242177343304,0.0206765324975948,"n.s.",0.000783716776734913,0.00217266410775993,"sig",0.0113251210506332,-0.447766884377149,18.1135797536495,0.0423880841000638,"n.s.",0.00133819235037439,-0.557493295559127,0.00782462688712363,"n.s.",0.144150701045659,-0.0822511182158223,0.232481528094114,"n.s.",3,18.4693346571269,18.6533586189265,18.5531157694035,18.7635066851117,18.6965966931108,18.188260415175,18.2034013285557,18.1766883472268,18.0715604012822,18.0924905124396
"sp|A0JNW5|UH1BL_HUMAN","UHRF1BP1L","UHRF1-binding protein 1-like OS=Homo sapiens OX=9606 GN=UHRF1BP1L PE=1 SV=2",0.561247738711023,-0.0390958037030842,17.4354415793299,0.620826701473821,"n.s.",0.427807783697244,-0.0223605650888175,17.3963457756268,0.602666643982294,"n.s.",17.413081014241,0.791509090011893,0.0167352386142667,0.815724973273754,"n.s.",0.684581527259166,0.696281553361202,"n.s.",0.70384387410885,0.0280981438406691,17.4635397231705,0.752602872774406,"n.s.",0.375544507371808,0.0671939475437533,0.447677805805342,"n.s.",0.496064109290563,0.0504587089294866,0.587814019769968,"n.s.",0,17.4135841952453,17.4572989634144,17.4827049355632,17.3734908243394,17.3328415669777,17.4070950090766,17.4190670194055,17.5541977186758,17.4566621447656,17.3797593060702
"sp|A0MZ66-3|SHOT1_HUMAN","SHTN1","Isoform 3 of Shootin-1 OS=Homo sapiens OX=9606 GN=SHTN1",0.00282784020889523,0.391070458931104,18.0944440155861,0.0168724149439226,"n.s.",0.327359289301226,-0.119520131411065,18.4855144745172,0.511408282512658,"n.s.",17.974923884175,0.00361455908670959,-0.510590590342169,0.0107553213713425,"n.s.",0.00107300406264499,0.00274058643754247,"sig",0.133634833578829,0.144187535290541,18.2386315508766,0.197611311056932,"n.s.",0.00704954233727691,-0.246882923640563,0.0216996257232501,"n.s.",0.050044312190452,0.263707666701606,0.113470024735498,"n.s.",2,18.145628727522,18.0432593036502,18.5123205026492,18.4585157894329,18.4857071314696,17.8973088501496,18.0525389182005,18.3301266702881,18.2009902043573,18.1847777779846
"sp|A1L020|MEX3A_HUMAN","MEX3A","RNA-binding protein MEX3A OS=Homo sapiens OX=9606 GN=MEX3A PE=1 SV=1",0.623789264758604,0.098310992109452,12.4544604554089,0.678241027618165,"n.s.",0.188538955493613,0.297661046075008,12.5527714475184,0.381173077637136,"n.s.",12.752121501484,0.268696416619886,0.199350053965556,0.315323840362864,"n.s.",0.0481522574631355,0.060569161806612,"n.s.",0.0377358337492205,0.471399214342741,12.9258596697517,0.0820355794269111,"n.s.",0.0414053786502729,0.373088222233289,0.0750989529464482,"n.s.",0.122273829037903,0.173738168267732,0.206657818973496,"n.s.",0,12.3085519152658,12.6003689955521,12.5029430464533,12.7660100369756,12.3893612591263,12.7110299649773,12.7932130379907,12.8190448286673,12.9385353012135,13.0199988793743
"sp|A1L0T0|ILVBL_HUMAN","ILVBL","Acetolactate synthase-like protein OS=Homo sapiens OX=9606 GN=ILVBL PE=1 SV=2",8.87541864784351e-05,0.43992702012358,16.5057987736939,0.00669531581378167,"n.s.",0.960340896261941,0.00092410433591894,16.9457257938175,0.977575285381767,"n.s.",16.5067228780298,0.000101688197866346,-0.439002915787661,0.00268296545700566,"n.s.",1.14743189818054e-07,2.72640147574739e-05,"sig",0.0511672596246014,-0.0466170364094154,16.4591817372845,0.0995827916240426,"n.s.",3.84473233815315e-06,-0.486544056532995,0.00110033113447097,"n.s.",0.0544300877718104,-0.0475411407453343,0.120217546435388,"n.s.",2,16.5166122480309,16.4949852993569,16.9282208775261,16.9465080767477,16.9624484271787,16.4943085906783,16.5191371653814,16.4581646816572,16.4763003480403,16.443080182156
"sp|A1L390|PKHG3_HUMAN","PLEKHG3","Pleckstrin homology domain-containing family G member 3 OS=Homo sapiens OX=9606 GN=PLEKHG3 PE=1 SV=1",0.00333396991439361,-0.520852185240283,16.8294567145701,0.018247672383496,"n.s.",0.890617795734193,-0.00639460258319247,16.3086045293299,0.939190571756711,"n.s.",16.8230621119869,0.00314390353996339,0.514457582657091,0.00988769662950318,"n.s.",0.000569478931053996,0.00170779907879351,"sig",0.0149073447090008,-0.417464620265552,16.4119920943046,0.0481276300550983,"n.s.",0.239175704673452,0.103387564974732,0.306685437929378,"n.s.",0.0148284566099281,-0.411070017682359,0.0563670784973563,"n.s.",1,16.7969998428308,16.8619135863095,16.3201456085172,16.2287512250942,16.3769167543782,16.797863791311,16.8482604326629,16.5093887495585,16.4272500433796,16.2993374899757
