Golgi AA,Golgi atg7KO AA,ER AA,ER atg7KO AA,Total AA,Total atg7KO AA,Golgi torin,Golgi torin atg7ko,ER torin,ER torin atg7 ko,Total torin,Total torin atg7ko
-0.256281,-0.20891,0.0677358,0.270591,0.0491003,0.0697211,-0.401269,-0.376492,-0.414744,0.0953388,-0.0238751,-0.015318
-0.0986791,0.314341,-0.0357759,0.227015,0.10183,0.139427,0.176496,0.303999,-0.339764,-0.048686,0.0283421,0.0631436
0.059788,0.117328,-0.101893,0.152674,0.0990674,0.162641,-0.0277365,0.0632809,-0.203854,0.0967646,0.0866421,0.0866081
-0.300289,-0.0680157,0.0767192,0.115812,-0.0672765,-0.0465485,-0.0781153,0.0265011,0.0396282,-0.0325973,0.087541,0.0359414
-0.172388,0.029106,-0.236165,0.00425603,-0.0587177,-0.0453594,-0.151588,0.040311,-0.186821,0.0457783,0.0419164,-0.0167968
-0.17299,-0.102363,0.0271603,0.013662,-0.275086,-0.454453,-0.468878,-0.33286,-0.0428558,0.129824,-0.0374699,-0.360784
-0.263791,0.252209,-0.0655835,0.0423841,-0.0338862,-0.0231446,-0.424695,0.191584,-0.185153,0.0651682,-0.0736183,-0.108226
-0.236254,0.00268622,-0.494867,0.0884955,0.101927,0.150834,-0.191248,0.0488256,-0.717002,0.0653834,-0.0238167,0.0418876
-0.0865645,-0.0195762,-0.493005,-0.102953,-0.118834,0.00428895,-0.152456,0.131236,-0.828747,-0.141505,-0.265959,-0.173531
-0.0867712,0.00791101,-0.161466,0.00999013,0.131568,0.157706,-0.12086,-0.0381684,-0.437703,-0.0516963,0.0974963,0.100567
-0.220632,-0.18205,-0.42764,-0.0923599,-0.090036,0.00496723,-0.109041,-0.0432544,-0.393255,-0.385804,-0.13184,-0.0560926
-0.0489558,0.0730036,-0.144439,0.0727665,0.00746694,0.0528803,-0.0595546,0.0431958,-0.199242,-0.152268,0.106394,0.0765309
0.120331,-0.0229306,-0.113017,0.0584065,0.00168411,0.00638032,0.111046,0.0135388,-0.0712288,0.0633033,-0.0141087,0.0140915
-0.0432509,0.208292,-0.154426,0.165574,0.0444992,-0.0167047,0.0896641,0.258966,-0.302383,0.222729,-0.00227211,-0.10694
-0.379811,0.0268964,-0.0952099,0.038854,-0.0587396,-0.0177988,-0.0432789,0.16432,-0.256954,0.205998,-0.0845892,-0.0631702
-0.310823,-0.0786487,0.0753877,-0.12978,-0.119978,-0.282445,-0.31213,0.160367,0.0315545,0.209831,0.219304,-0.0722518
-0.276214,0.0168681,0.0518789,0.186247,-0.140354,-0.14913,-0.185666,-0.0288882,-0.0438459,0.0647078,0.0263708,0.155832
0.20837,0.077353,0.0708895,0.0792356,-0.0231297,-0.0268674,-0.0276828,0.171916,-0.132391,0.0250468,-0.160081,0.0495853
-0.138221,0.0932961,0.081305,0.208311,-0.0630657,-0.0438395,-0.163211,0.163428,0.0544307,0.12235,0.151092,0.0334109
-0.172688,0.154447,-0.0697627,0.171721,0.0894115,-0.109251,-0.145434,0.0288063,-0.210443,0.131231,0.0886338,-0.1722
-0.103818,-0.102939,0.0257888,0.10464,-0.0248071,-0.0872392,0.167083,-0.103084,-0.123784,-0.0543302,-0.0756296,0.0827527
-0.0259293,0.0238121,0.0402473,0.362358,0.0575375,0.0975053,-0.127669,0.0465324,-0.0581592,0.120293,0.0442713,0.0635011
-0.0829431,0.102032,-0.200594,0.121845,0.0709737,0.0199397,0.00764871,0.401888,-0.247815,0.0457637,0.0465592,-0.0113352
-0.144127,0.0294587,0.052224,0.0945857,-0.0544382,0.06845,-0.102453,0.0220377,0.0115943,0.0583345,-0.0520153,0.0516181
-0.233072,0.0228402,-0.0483869,0.214752,0.0197198,0.0418662,-0.0729634,-0.115496,0.338573,0.142084,0.0785242,0.0738489
-0.17207,-0.0553072,-0.0128269,-0.181614,-0.403025,0.00929425,-0.16048,0.000911072,-0.0621593,-0.0900945,-0.366343,-0.0241073
-0.165526,0.0528443,-0.0365174,0.147413,0.00661556,0.00103988,0.16942,0.073278,-0.332648,0.0777542,-0.036482,0.0561269
-0.181081,-0.168217,-0.0379553,0.0930415,-0.265672,-0.297297,-0.315639,-0.140295,-0.153111,0.300584,-0.305321,-0.307559
0.0393657,0.0996218,-0.198386,0.189965,0.0344611,0.0159085,-0.0828418,0.166215,-0.288536,0.187805,-0.135502,-0.0472161
-0.22309,-0.0300842,-0.0832451,-0.130022,0.0731948,-0.267312,-0.351073,-0.0419381,-0.183188,-0.457907,-0.104287,-0.205555
