channel,condition,replicate,priority
X126.Raw.Intensity,0_control,1,1
X127n.Raw.Intensity,0_control,2,1
X127c.Raw.Intensity,1_control_aa,1,2
X128n.Raw.Intensity,1_control_aa,2,2
X128c.Raw.Intensity,1_control_aa,3,2
X129n.Raw.Intensity,2_fip200,1,3
X129c.Raw.Intensity,2_fip200,2,3
X130n.Raw.Intensity,3_fip200_aa,1,4
X130c.Raw.Intensity,3_fip200_aa,2,4
X131n.Raw.Intensity,3_fip200_aa,3,4
X131c.Raw.Intensity,4_yipf4,1,5
X132n.Raw.Intensity,4_yipf4,2,5
X132c.Raw.Intensity,4_yipf4,3,5
X133n.Raw.Intensity,5_yipf4_aa,1,6
X133c.Raw.Intensity,5_yipf4_aa,2,6
X134n.Raw.Intensity,5_yipf4_aa,3,6
X134c.Raw.Intensity,empty,empty,empty
X135n.Raw.Intensity,empty,empty,empty
