Golgi control,Golgi atg7ko,Mito,Mito atg7ko,ER,ER atg7ko,Endosome,Endosome atg7ko,Nucleus,Nucleus atg7ko,Lysosome,Lysosome atg7ko,PM,PM atg7ko
-0.256281,-0.20891,0.207147,0.199841,0.0677358,0.270591,0.0104263,0.0715321,0.224629,0.179372,0.161052,-0.161314,-0.0831999,-0.00129087
-0.0986791,0.314341,0.242116,0.16418,-0.0357759,0.227015,0.0801152,0.119446,0.130611,0.0687769,0.0932966,0.0752694,0.116889,0.0981836
0.059788,0.117328,0.134338,0.0457386,-0.101893,0.152674,0.0402883,0.0212903,0.181731,0.196228,0.0963676,-0.121002,0.228688,0.121346
-0.300289,-0.0680157,0.190363,0.123479,0.0767192,0.115812,-0.0894037,0.00714186,-0.0450024,-0.0658347,-0.264346,0.037575,0.0259397,0.0877496
-0.172388,0.029106,0.14864,0.0803421,-0.236165,0.00425603,0.0969719,0.106388,-0.0641111,-0.0603923,0.139162,-0.861371,-0.0702093,-0.0158565
-0.17299,-0.102363,0.146147,-0.0344519,0.0271603,0.013662,-0.0532583,0.0378185,0.148623,0.102036,0.273462,0.0225826,0.132966,0.0978802
-0.263791,0.252209,0.154349,0.140981,-0.0655835,0.0423841,0.17106,0.165709,0.111099,0.0743543,0.100639,-0.170548,-0.0545812,-0.253658
-0.236254,0.00268622,0.158807,0.0283195,-0.494867,0.0884955,0.0144465,0.0286779,-0.0230096,-0.0908564,-0.00689695,0.134858,0.025064,-0.0429089
-0.0865645,-0.0195762,0.0709712,0.0304093,-0.493005,-0.102953,-0.0872513,-0.0695348,0.170873,0.19008,-1.12485,0.0697244,-0.00904779,0.0123162
-0.0867712,0.00791101,0.110694,0.0350952,-0.161466,0.00999013,-0.0504169,-0.0486537,0.17827,0.151524,0.11545,-1.06832,0.200979,0.10264
-0.220632,-0.18205,0.123867,0.0872874,-0.42764,-0.0923599,-0.0913351,-0.0520844,0.0924049,-0.071653,0.0212679,-0.121968,0.093551,0.101514
-0.0489558,0.0730036,0.0135755,0.0342711,-0.144439,0.0727665,-0.750137,-0.841986,0.0923618,0.104087,-0.161471,-0.143971,0.0895417,0.116827
0.120331,-0.0229306,-0.102003,-0.11853,-0.113017,0.0584065,-0.662532,-0.913934,-0.0753728,-0.0310202,-0.0328728,-0.0866941,0.259767,0.221524
-0.0432509,0.208292,0.014324,0.00902192,-0.154426,0.165574,0.141942,0.0167619,1.6051,0.083551,0.087922,-0.135224,-0.460774,0.145926
-0.379811,0.0268964,-0.0351225,-0.0761907,-0.0952099,0.038854,0.234516,0.177489,0.107354,0.28589,-0.161556,0.00552755,0.0372621,-0.198422
-0.310823,-0.0786487,0.0372749,-0.104746,0.0753877,-0.12978,-0.0248767,0.210859,0.320047,0.0725423,0.227986,-0.233082,-0.142472,-0.0566021
-0.276214,0.0168681,0.0784352,0.103692,0.0518789,0.186247,-0.384357,-0.202314,-0.0842083,-0.228682,0.0792696,0.128739,-0.0295466,-0.137043
0.20837,0.077353,0.203434,0.126182,0.0708895,0.0792356,0.10047,0.116918,0.250327,-0.209225,0.0274158,0.0101645,-0.0733849,-0.206458
-0.138221,0.0932961,0.322096,0.433909,0.081305,0.208311,0.0864395,0.1195,-0.0510145,-0.137278,0.0122827,-0.0521424,-0.119374,-0.222288
-0.172688,0.154447,0.373926,0.243546,-0.0697627,0.171721,-0.140811,-0.166817,0.0187916,0.00255353,0.0538143,0.0134933,0.138664,0.103814
-0.103818,-0.102939,0.143895,0.112543,0.0257888,0.10464,0.0113417,-0.0521852,0.0151477,-0.0680121,0.206037,-0.0873101,0.0722329,0.136975
-0.0259293,0.0238121,0.111692,0.0300007,0.0402473,0.362358,0.166078,0.119876,-0.224659,0.0354709,-0.00139983,0.0563387,-0.355964,-0.335882
-0.0829431,0.102032,0.174617,0.134438,-0.200594,0.121845,0.0926667,-0.0149338,0.0387901,-0.241826,0.0309669,0.173147,0.0628746,-0.0181659
-0.144127,0.0294587,0.235794,0.154118,0.052224,0.0945857,-0.1816,-0.294163,0.105059,0.260502,0.32351,-0.102162,0.266778,0.162651
-0.233072,0.0228402,0.224131,0.13793,-0.0483869,0.214752,-0.0304153,-0.0940972,0.0869957,0.0249792,-0.418477,-0.0908576,0.131979,0.0379925
