"","Compartment_ss","avg_loss_c2","all_molecules_lost_c2","numberProtWithLoss_c2","total_molecules_compartment_c2","avg_molecules_compartment_c2","avg_loss_allLoss","all_molecules_lost_allLoss","numberProtWithLoss_allLoss","total_molecules_compartment_allLoss","avg_molecules_compartment_allLoss","numberProtWithLoss","total_molecules_compartment","avg_molecules_compartment","Compartment_ss2","percent_loss_c2","percent_loss_allProt"
"1","Cytosol",102415.86352119,12392319.486064,121,95261362.1693374,787283.984870557,313888.786591825,290661016.38403,926,2767052492.29616,2988177.63746885,1870,5997212871.70582,3207065.70679456,"Cytosol",0.206634644311687,4.84660162315291
"2","Endosome",232438.079743099,3021695.03666028,13,22386384.8884354,1722029.60680272,110707.521294092,6088913.67117505,55,41766268.3120493,759386.696582715,86,58697284.5370055,682526.564383785,"Endosome",5.14792985824628,10.3734162818662
"3","ER",309522.34317906,12380893.7271624,40,75288616.0118876,1882215.40029719,182737.736054953,20283888.7020997,111,136331451.082099,1228211.2710099,152,153300416.341498,1008555.37066775,"ER",8.07622968197437,13.2314635447007
"4","Golgi.membrane",44328.3241066154,842238.158025692,19,6017916.02716035,316732.422482124,43803.0213726935,1007469.49157195,23,6932619.13293828,301418.223171229,33,11585199.051953,351066.637937969,"Golgi 
 Membrane",7.26994982346645,8.69617765783762
"5","Golgi.membrane.associated",43274.1556236972,476015.711860669,11,3130615.76708904,284601.433371731,79325.2392579899,3014359.09180362,38,16861564.8901998,443725.391847364,56,23854895.5064129,425980.276900231,"Golgi 
 Associated",1.99546341224887,12.636228446246
"6","Lysosome",39519.1540053805,118557.462016141,3,1610706.93047418,536902.31015806,72858.9969853158,1675756.93066226,23,11046011.4559371,480261.36764944,53,25073995.3599983,473094.252075439,"Lysosome",0.472830357962345,6.68324655326242
"7","Mitochondria",3473.25933279036,6946.51866558072,2,1375703.92416895,687851.962084477,180206.895673631,13695724.071196,76,116599674.946624,1534206.24929768,350,504889053.561396,1442540.15303256,"Mitochondria",0.00137585051935296,2.7126205202091
"8","Nucleus",57263.3783159138,515370.404843224,9,3430248.84428243,381138.760475826,85981.6270079447,32758999.8900269,381,369055367.196901,968649.257734649,881,1074584925.62288,1219733.17323823,"Nucleus",0.0479599510987455,3.04852591069414
"9","Peroxisome",88391.6746343371,176783.349268674,2,990968.270994631,495484.135497315,59688.4830978333,835638.763369667,14,4527234.20292558,323373.871637541,20,5715787.70787839,285789.385393919,"Peroxisome",3.09289564804872,14.6198355515874
"10","Plasma.Membrane",115150.438088333,230300.876176666,2,755445.583040984,377722.791520492,58610.7446330789,1582490.10509313,27,10116147.6783306,374672.136234467,62,35452029.8285588,571806.93271869,"Plasma 
 Membrane",0.649612666158666,4.4637503486989
