"","Compartment_ss","avg_loss_c2","all_molecules_lost_c2","numberProtWithLoss_c2","total_molecules_compartment_c2","avg_molecules_compartment_c2","avg_loss_allLoss","all_molecules_lost_allLoss","numberProtWithLoss_allLoss","total_molecules_compartment_allLoss","avg_molecules_compartment_allLoss","numberProtWithLoss","total_molecules_compartment","avg_molecules_compartment","Compartment_ss2","percent_loss_c2","percent_loss_allProt"
"1","Cytosol",25338.0406909138,3015226.84221874,119,25238133.764692,212085.157686487,72308.2570333779,67463603.8121416,933,580339727.775052,622014.713585265,1905,1269640118.39949,666477.752440675,"Cytosol",0.237486733328792,5.31360051044909
"2","Endosome",77008.0024222317,1001104.03148901,13,7408460.44017,569881.572320769,35768.1857932921,1967250.21863107,55,14137408.928011,257043.798691109,86,20117193.628611,233920.85614664,"Endosome",4.97636027157001,9.77894956398497
"3","ER",106405.411849341,4469027.29767232,42,26880885.08881,640021.073543095,71073.8870676464,8031349.23864404,113,54110397.32367,478853.073660796,155,63193946.44868,407702.880314065,"ER",7.0719231015294,12.7090483978024
"4","Golgi.membrane",20443.4459533335,388425.473113336,19,2602067.38798,136950.915156842,19270.6191948964,443224.241482618,23,2907308.69492,126404.725866087,33,6008235.99368,182067.757384242,"Golgi 
 Membrane",6.46488376158853,7.37694461317499
"5","Golgi.membrane.associated",25867.6879805189,310412.255766227,12,2858022.56542,238168.547118333,23260.6088075095,883903.13468536,38,6600205.03979,173689.606310263,57,12748874.10022,223664.457898597,"Golgi 
 Associated",2.43482093654741,6.93318584634942
"6","Lysosome",14534.591238592,43603.7737157761,3,636414.36763,212138.122543333,25491.9137669163,586314.016639074,23,4027365.623282,175102.853186174,54,9056772.078022,167718.001444852,"Lysosome",0.481449387708332,6.47376362779271
"7","Mitochondria",2290.41579139157,4580.83158278313,2,485862.566,242931.283,48767.7906567576,3608816.50860006,74,26197182.98884,354015.986335676,353,160702412.565039,455247.627663,"Mitochondria",0.00285050579494517,2.24565173042409
"8","Nucleus",28565.1563979454,285651.563979454,10,1863574.72985,186357.472985,29152.9791017205,11369661.849671,390,90398723.155278,231791.597834046,898,328589403.557996,365912.47612249,"Nucleus",0.0869326767346704,3.46014257506762
"9","Peroxisome",54448.3018990159,108896.603798032,2,587220.1096,293610.0548,40336.2323649397,564707.253109156,14,2970445.406287,212174.671877643,20,3872470.414287,193623.52071435,"Peroxisome",2.81207064607315,14.5826098767789
"10","Plasma.Membrane",71878.8218291367,143757.643658273,2,465069.48052,232534.74026,27356.3602634387,765978.087376285,28,4732547.785077,169019.56375275,62,14386091.193687,232033.728930435,"Plasma 
 Membrane",0.999282165828046,5.32443508847224
