"","Compartment_ss","avg_loss_c2","all_molecules_lost_c2","numberProtWithLoss_c2","total_molecules_compartment_c2","avg_molecules_compartment_c2","avg_loss_allLoss","all_molecules_lost_allLoss","numberProtWithLoss_allLoss","total_molecules_compartment_allLoss","avg_molecules_compartment_allLoss","numberProtWithLoss","total_molecules_compartment","avg_molecules_compartment","Compartment_ss2","percent_loss_c2","percent_loss_allProt"
"1","Cytosol",15317.4456322058,3094124.01770557,202,35580525.7836155,176141.216750572,42777.9597579915,67204174.7798047,1571,625762827.526144,398321.341518869,2825,1484100919.35159,525345.458177554,"Cytosol",0.208484745030507,4.52827526103592
"2","Endosome",42871.8141518101,814564.468884392,19,7062042.41068,371686.442667368,22160.1010260466,1595527.27387536,72,13337406.940099,185241.763056931,115,22289215.00242,193819.260890609,"Endosome",3.65452291072589,7.15829280529676
"3","ER",38206.7853527137,2063166.40904654,54,21651611.95688,400955.776979259,40634.8625908182,8289511.96852692,204,57064336.696704,279727.140670118,246,73923259.41107,300501.054516545,"ER",2.79095703501621,11.2136721710698
"4","Golgi.membrane",7317.22298445068,336592.257284731,46,2918118.2664359,63437.3536181717,7674.97987580957,498873.691927622,65,3827591.9386249,58886.0298249985,78,7550668.2686399,96803.4393415372,"Golgi 
 Membrane",4.45778102426636,6.60701376591511
"5","Golgi.membrane.associated",16344.2765131816,294196.977237269,18,3412437.03137,189579.835076111,19967.9022948609,1218042.03998651,61,9434263.824349,154660.062694246,86,16301688.292022,189554.515023512,"Golgi 
 Associated",1.80470250667993,7.47187664349232
"6","Lysosome",8988.6100148041,80897.4901332369,9,1480229.9462822,164469.994031356,29045.0799837468,1742704.79902481,60,9325582.1427829,155426.369046382,83,11621328.3042239,140016.003665348,"Lysosome",0.696112251676375,14.99574535203
"7","Mitochondria",11741.4532904361,152638.892775669,13,2190566.137513,168505.087501,29811.6775724033,8168399.6548385,274,72532505.684301,264717.174030296,519,182832598.116018,352278.609086739,"Mitochondria",0.0834856006798147,4.46769325547471
"8","Nucleus",6733.4771181878,94268.6796546292,14,1332484.452192,95177.4608708571,26422.4796712198,15668530.4450333,593,111778667.208254,188496.909288792,1301,392478622.191943,301674.575089887,"Nucleus",0.0240188062035457,3.99219971715316
"9","Peroxisome",17587.7529464933,87938.7647324664,5,955965.92188,191193.184376,25159.6990235138,779950.669728929,31,4610973.59797,148741.083805484,33,5136610.60565,155654.866837879,"Peroxisome",1.71199982797486,15.1841502034634
"10","Plasma.Membrane",19844.6023688156,138912.216581709,7,597568.224179,85366.8891684286,20104.3215822405,1487719.7970858,74,9471913.2018246,127998.827051684,121,17885170.9019546,147811.32976822,"Plasma 
 Membrane",0.776689344167957,8.31817490166231
