"Reference","Gene.Symbol","Annotation","p.val_1_control_EBSS-0_control_UT","log2FC_1_control_EBSS-0_control_UT","0_control_UT","q.val_1_control_EBSS-0_control_UT","sig_1_control_EBSS-0_control_UT","p.val_2_LIR_UT-0_control_UT","log2FC_2_LIR_UT-0_control_UT","1_control_EBSS","q.val_2_LIR_UT-0_control_UT","sig_2_LIR_UT-0_control_UT","2_LIR_UT","p.val_2_LIR_UT-1_control_EBSS","log2FC_2_LIR_UT-1_control_EBSS","q.val_2_LIR_UT-1_control_EBSS","sig_2_LIR_UT-1_control_EBSS","p.val_anova","q.val_anova","anova_sig","p.val_2_LIR_EBSS-0_control_UT","log2FC_2_LIR_EBSS-0_control_UT","2_LIR_EBSS","q.val_2_LIR_EBSS-0_control_UT","sig_2_LIR_EBSS-0_control_UT","p.val_2_LIR_EBSS-1_control_EBSS","log2FC_2_LIR_EBSS-1_control_EBSS","q.val_2_LIR_EBSS-1_control_EBSS","sig_2_LIR_EBSS-1_control_EBSS","p.val_2_LIR_EBSS-2_LIR_UT","log2FC_2_LIR_EBSS-2_LIR_UT","q.val_2_LIR_EBSS-2_LIR_UT","sig_2_LIR_EBSS-2_LIR_UT","cluster","0_control_UT_1","0_control_UT_2","1_control_EBSS_1","1_control_EBSS_2","1_control_EBSS_3","2_LIR_UT_1","2_LIR_UT_2","2_LIR_EBSS_1","2_LIR_EBSS_2","2_LIR_EBSS_3"
"sp|A0FGR8-2|ESYT2_HUMAN","ESYT2","Isoform 2 of Extended synaptotagmin-2 OS=Homo sapiens OX=9606 GN=ESYT2",0.0114417240380806,-0.19784984376871,14.11848544348,0.0333273473434789,"n.s.",0.53023234857259,-0.148395537484868,13.9206355997113,0.837414830906325,"n.s.",13.9700899059951,0.765072629348183,0.0494543062838417,0.801885747496735,"n.s.",0.187433055871287,0.22627460479883,"n.s.",0.0266343385110028,-0.302765394906679,13.8157200485733,0.0758170658750706,"n.s.",0.175015845234419,-0.104915551137969,0.321560375064247,"n.s.",0.417604312410509,-0.154369857421811,0.519155733294454,"n.s.",1,14.1214132980193,14.1155575889406,13.9231567036441,13.9669230760583,13.8718270194314,14.1672560347367,13.7729237772535,13.8069277092317,13.9194035743416,13.7208288621465
"sp|A0MZ66-3|SHOT1_HUMAN","SHTN1","Isoform 3 of Shootin-1 OS=Homo sapiens OX=9606 GN=SHTN1",0.00343943451312803,-0.301576020954885,15.3983652699204,0.0186445443868146,"n.s.",0.019606923649159,-0.447034330023991,15.0967892489655,0.648027152802805,"n.s.",14.9513309398964,0.086335806024578,-0.145458309069106,0.131205982259799,"n.s.",0.00199047479912053,0.00700628483156476,"sig",0.00873153449515019,-0.456335394014827,14.9420298759056,0.0465751867496993,"n.s.",0.0702705301347835,-0.154759373059942,0.18400105712993,"n.s.",0.921852634888788,-0.00930106399083641,0.945764170810818,"n.s.",1,15.3860324006225,15.4106981392183,15.0616531072087,15.0797621555457,15.1489524841422,14.8890054465506,15.0136564332422,14.9761573508709,14.8303538767824,15.0195784000635
"sp|A1L0T0|ILVBL_HUMAN","ILVBL","Acetolactate synthase-like protein OS=Homo sapiens OX=9606 GN=ILVBL PE=1 SV=2",0.0622868230336132,-0.212185637744115,14.2919115552804,0.10413469968801,"n.s.",0.239008282467014,-0.111415361341436,14.0797259175363,0.725563550743457,"n.s.",14.180496193939,0.303319857603126,0.100770276402679,0.371851342559134,"n.s.",0.004678850440167,0.0122727961807522,"sig",0.0126023462371985,-0.514060968262935,13.7778505870175,0.0523378026909557,"n.s.",0.0276326627006022,-0.30187533051882,0.116335832042031,"n.s.",0.0290354161648674,-0.402645606921499,0.0940246295178115,"n.s.",1,14.325227075672,14.2585960348889,14.0281586672445,14.0248635298455,14.1861555555189,14.1221776505782,14.2388147372998,13.6567157344371,13.9043144058685,13.7725216207469
"sp|A1X283|SPD2B_HUMAN","SH3PXD2B","SH3 and PX domain-containing protein 2B OS=Homo sapiens OX=9606 GN=SH3PXD2B PE=1 SV=3",0.0188018603272999,-0.367907531112143,16.2411669428343,0.0450945478594011,"n.s.",0.273894849174291,-0.156240212561475,15.8732594117222,0.740426482544667,"n.s.",16.0849267302729,0.0119790056096549,0.211667318550669,0.0340993284683928,"n.s.",0.0028963031264133,0.00879422949292765,"sig",0.017473502712896,-0.441113875594626,15.8000530672397,0.0628293650179011,"n.s.",0.207315298504542,-0.0732063444824824,0.364566651043908,"n.s.",0.0188314803485524,-0.284873663033151,0.0777574586919623,"n.s.",1,16.1423165712169,16.3400173144518,15.9175514886198,15.8578509161493,15.8443758303974,16.050671783341,16.1191816772048,15.8617167914272,15.7167760202578,15.8216663900341
"sp|B5ME19|EIFCL_HUMAN","EIF3CL","Eukaryotic translation initiation factor 3 subunit C-like protein OS=Homo sapiens OX=9606 GN=EIF3CL PE=1 SV=1",0.384411720255181,0.0886478531282222,17.6909420332307,0.44341582159903,"n.s.",0.757726600092587,-0.0352007368811051,17.7795898863589,0.918524223236137,"n.s.",17.6557412963495,0.327360114243386,-0.123848590009327,0.395834474423016,"n.s.",0.103138839710456,0.135386616667962,"n.s.",0.157505516836507,-0.206437823957916,17.4845042092727,0.240824813637101,"n.s.",0.0463613780308223,-0.295085677086139,0.150499246609775,"n.s.",0.265953473533635,-0.171237087076811,0.375121676756575,"n.s.",1,17.732062296131,17.6498217703303,17.8736776938957,17.6592581210455,17.8058338441355,17.7465414648876,17.5649411278115,17.3753627392413,17.4332452987203,17.6449045898566
"sp|E9PAV3|NACAM_HUMAN","NACA","Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Homo sapiens OX=9606 GN=NACA PE=1 SV=1",0.0488757776799388,-0.865117255346807,16.5489585555898,0.0895274952220308,"n.s.",0.170976683352969,-0.66122659919111,15.683841300243,0.715017239199975,"n.s.",15.8877319563987,0.228352116601957,0.203890656155696,0.295364226551412,"n.s.",0.0208875311905197,0.0378304528301438,"sig",0.0408628320975746,-1.09070168989481,15.458256865695,0.0964157561109177,"n.s.",0.309767495859232,-0.225584434548004,0.473068046208474,"n.s.",0.137575460305305,-0.429475090703701,0.231551978542972,"n.s.",1,16.2349604710366,16.862956640143,15.7717654503859,15.8016599798925,15.4780984704505,15.9173202631397,15.8581436496577,15.7841866636843,15.3324431554528,15.2581407779479
"sp|O00116|ADAS_HUMAN","AGPS","Alkyldihydroxyacetonephosphate synthase, peroxisomal OS=Homo sapiens OX=9606 GN=AGPS PE=1 SV=1",0.985732945236096,-0.00156198546020647,13.5736951183244,0.987046380206431,"n.s.",0.351407171872742,0.237321881812088,13.5721331328642,0.770335544976484,"n.s.",13.8110170001365,0.171457841871146,0.238883867272294,0.23300283574352,"n.s.",0.0910473218737242,0.121855854653791,"n.s.",0.08166745725914,0.301422872193791,13.8751179905182,0.151538504025293,"n.s.",0.0171009727218546,0.302984857653998,0.10240144223485,"n.s.",0.712219840480164,0.0641009903817036,0.785016592447112,"n.s.",2,13.6695226954292,13.4778675412196,13.5732141994283,13.6213231368699,13.5218620622943,13.9830595499772,13.6389744502958,13.9798869630549,13.9071337627411,13.7383332457586
"sp|O00154|BACH_HUMAN","ACOT7","Cytosolic acyl coenzyme A thioester hydrolase OS=Homo sapiens OX=9606 GN=ACOT7 PE=1 SV=3",0.02975094782303,-0.972098678408813,17.156011075801,0.0626269952073027,"n.s.",0.349649196043458,0.431333019962658,16.1839123973922,0.770335544976484,"n.s.",17.5873440957636,0.000708199619383593,1.40343169837147,0.0109600746120088,"up",0.0031967047867453,0.00934756282972409,"sig",0.162679112006441,-0.552544674451525,16.6034664013495,0.246676009707077,"n.s.",0.0331548265671992,0.419554003957288,0.128432227655929,"n.s.",0.0147010764743419,-0.983877694414183,0.0715521808219417,"n.s.",1,17.4887584596065,16.8232636919955,16.1843564804978,16.2086215443028,16.158759167376,17.7145957408523,17.460092450675,16.6619422479791,16.794783572298,16.3536733837713
"sp|O00159|MYO1C_HUMAN","MYO1C","Unconventional myosin-Ic OS=Homo sapiens OX=9606 GN=MYO1C PE=1 SV=4",0.0861613014464119,-0.559104990506418,14.9515610848278,0.132150339262386,"n.s.",0.6867140309351,-0.137808274214938,14.3924560943214,0.889026428809171,"n.s.",14.8137528106128,0.000658589339860232,0.421296716291479,0.0109600746120088,"n.s.",0.0515740366855171,0.0769005725578693,"n.s.",0.20823860786078,-0.365035374798925,14.5865257100289,0.293616090510351,"n.s.",0.0200730058998933,0.194069615707493,0.10660681225279,"n.s.",0.0338787612606151,-0.227227100583987,0.100433487524072,"n.s.",1,14.6562650777208,15.2468570919348,14.3931776154791,14.42938458433,14.354806083155,14.8065434876572,14.8209621335684,14.6808557454145,14.5381645716851,14.5405568129869
"sp|O00161|SNP23_HUMAN","SNAP23","Synaptosomal-associated protein 23 OS=Homo sapiens OX=9606 GN=SNAP23 PE=1 SV=1",0.530852038174629,0.0527259564211153,15.0665021171463,0.585378293012816,"n.s.",0.530975604693099,0.0502772265964087,15.1192280735674,0.837414830906325,"n.s.",15.1167793437427,0.968167335627975,-0.00244872982470667,0.975959426860393,"n.s.",0.00784582815983814,0.017976036164995,"sig",0.0155266343313899,0.272220313838925,15.3387224309852,0.058777185849261,"n.s.",0.00954739174724922,0.21949435741781,0.0831808521094591,"n.s.",0.00288825424464043,0.221943087242517,0.0466444852661518,"n.s.",2,15.0003272276604,15.1326770066322,15.1449169834804,15.034594488738,15.1781727484839,15.1268988315931,15.1066598558923,15.3040383284353,15.3654470590072,15.3466819055131
