Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,UT1,AA5,UT2,AA6,UT3,AA7,UT4,AA8
A0A024R4E5;C9J5E5;C9JBS3;C9JEJ8;C9JES8;C9JHN6;C9JHS7;C9JHZ8;C9JIZ1;C9JK79;C9JT62;C9JZI8,C9JHS7;C9JES8;C9JEJ8;C9JHZ8;C9JIZ1;C9JK79;A0A024R4E5;C9J5E5;C9JZI8;C9JBS3;C9JT62;C9JHN6,A0A024R4E5_HUMAN;C9J5E5_HUMAN;C9JBS3_HUMAN;C9JEJ8_HUMAN;C9JES8_HUMAN;C9JHN6_HUMAN;C9JHS7_HUMAN;C9JHZ8_HUMAN;C9JIZ1_HUMAN;C9JK79_HUMAN;C9JT62_HUMAN;C9JZI8_HUMAN,HDLBP,"High density lipoprotein binding protein (Vigilin), isoform CRA_a",5.87E+06,4.79E+06,7.34E+06,5.35E+06,5.77E+06,5.11E+06,6.66E+06,5.45E+06
A0A087WUL8;B4DH59;P0DPF2;P0DPF3;P0DPF3-2;Q3BBV2;Q5TAG4;Q5TI25;Q6P3W6;Q8N660,Q3BBV0;Q3BBV0-2;Q3BBV2;P0DPF3;P0DPF3-2;Q6P3W6;Q86T75;Q5TAG4;Q5TI25;Q8N660;A0A087WUL8;P0DPF2;B4DH59;A0A087WYQ9;A0A087WVE3;A0A087WVC7;A0A075B7A3;A0A087WVU4;A0A087WTW4;A0A075B6G5;A0A087WY24;A0A087WWQ1;A0A075B7F9;A0A087X288;A0A087WTH4;A0A087WZJ2;H7BZX4;A0A087WZE1;A0A075B757;A0A087WY62;A0A087WZB6;S4R2X0;H7BY70;A0A075B764;A0A087WUW2;A0A494C053;A0A087WU30;A0A087WVG8,NBPF8_HUMAN;NBPF9_HUMAN;NBPFA_HUMAN;NBPFC_HUMAN;NBPFE_HUMAN;NBPFF_HUMAN;NBPFJ_HUMAN;NBPFK_HUMAN;NBPFP_HUMAN,NBPF10;NBPF12;NBPF14;NBPF15;NBPF19;NBPF20;NBPF26;NBPF8;NBPF9,Neuroblastoma breakpoint family member 19,106989,,115857,,392799,,101095,
A0A087WZ13;E9PAU2,E9PAU2;A0A087WZ13,A0A087WZ13_HUMAN;E9PAU2_HUMAN,RAVER1,Ribonucleoprotein PTB-binding 1,4.01E+06,3.68E+06,2.99E+06,4.00E+06,4.26E+06,4.76E+06,4.56E+06,5.37E+06
A0A087X0K9;A0A0G2JNH2;A0A7I2V5U5;G3V1L9;G5E9E7,A0A0G2JNH2;G3V1L9;A0A087X0K9;G5E9E7;A0A7I2V5U5,A0A087X0K9_HUMAN;A0A0G2JNH2_HUMAN;A0A7I2V5U5_HUMAN;G3V1L9_HUMAN;G5E9E7_HUMAN,TJP1,"Tight junction protein 1 (Zona occludens 1), isoform CRA_a",753105,,,,478663,484562,,348314
A0A087X0N3;Q5W149,A0A087X0N3;Q5W149,A0A087X0N3_HUMAN;Q5W149_HUMAN,NOL4L,Nucleolar protein 4-like,,,52856.5,69059.1,82345.2,,100125,72404.8
A0A087X1S3,A0A087X1S3,A0A087X1S3_HUMAN,HUWE1,E3 ubiquitin-protein ligase HUWE1 (Fragment),1.92E+06,1.96E+06,1.49E+06,1.73E+06,1.78E+06,2.06E+06,2.08E+06,1.70E+06
A0A096LP25,Q6ZSR9;A0A096LP25,A0A096LP25_HUMAN,AAK1,AP2-associated protein kinase 1,2.25E+06,2.36E+06,2.19E+06,2.24E+06,2.43E+06,2.49E+06,2.59E+06,2.60E+06
A0A0B4J2D5;P0DPI2,P0DPI2;P0DPI2-2;A0A0B4J2D5;A0A0B4J2D5-2;A0A096LNH5;H7C1F6;H7C2G3;A0A096LPI6,GAL3A_HUMAN;GAL3B_HUMAN,GATD3;GATD3B,"Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial",1.02E+07,1.40E+07,8.62E+06,1.79E+07,1.48E+07,1.54E+07,8.34E+06,1.20E+07
A0A0B4J2E5,A0A0B4J2E5,A0A0B4J2E5_HUMAN,LOC102724159,Utp12 domain-containing protein,392117,458502,546874,605052,607017,622955,592607,593665
A0A0C4DFL8;F5GX28;K7EQ54,A0A0C4DFL8;K7EQ54;F5GX28,A0A0C4DFL8_HUMAN;F5GX28_HUMAN;K7EQ54_HUMAN,KDM4B,[Histone H3]-trimethyl-L-lysine(9) demethylase,750960,742568,804066,831545,897571,719233,880267,837171
