"","Reference","Gene.Symbol","Annotation","log2FC_1_control_aa.0_control","candidate"
"1","sp|A0A0U1RRE5|NBDY_HUMAN","NBDY","Negative regulator of P-body association OS=Homo sapiens OX=9606 GN=NBDY PE=1 SV=1",0.177308737648383,"not"
"2","sp|A0A2Z4LIS9|FXO3B_HUMAN","FOXO3B","Forkhead box protein O3B OS=Homo sapiens OX=9606 GN=FOXO3B PE=1 SV=1",0.772469318654899,"not"
"3","sp|A0AVF1|IFT56_HUMAN","TTC26","Intraflagellar transport protein 56 OS=Homo sapiens OX=9606 GN=TTC26 PE=2 SV=1",-0.173070102306042,"not"
"4","sp|A0AVT1|UBA6_HUMAN","UBA6","Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens OX=9606 GN=UBA6 PE=1 SV=1",0.11188075582135,"not"
"5","sp|A0FGR8-2|ESYT2_HUMAN","ESYT2","Isoform 2 of Extended synaptotagmin-2 OS=Homo sapiens OX=9606 GN=ESYT2",-0.0988652986175715,"not"
"6","sp|A0JLT2|MED19_HUMAN","MED19","Mediator of RNA polymerase II transcription subunit 19 OS=Homo sapiens OX=9606 GN=MED19 PE=1 SV=2",0.351168742302722,"not"
"7","sp|A0JNW5|UH1BL_HUMAN","UHRF1BP1L","UHRF1-binding protein 1-like OS=Homo sapiens OX=9606 GN=UHRF1BP1L PE=1 SV=2",-0.211059716669617,"not"
"8","sp|A0MZ66|SHOT1_HUMAN","SHTN1","Shootin-1 OS=Homo sapiens OX=9606 GN=SHTN1 PE=1 SV=4",0.115381057822514,"candidate"
"9","sp|A0PJW6|TM223_HUMAN","TMEM223","Transmembrane protein 223 OS=Homo sapiens OX=9606 GN=TMEM223 PE=1 SV=1",0.163271421568428,"not"
"10","sp|A0PK00|T120B_HUMAN","TMEM120B","Transmembrane protein 120B OS=Homo sapiens OX=9606 GN=TMEM120B PE=1 SV=1",0.0713596879170098,"not"
"11","sp|A1L020|MEX3A_HUMAN","MEX3A","RNA-binding protein MEX3A OS=Homo sapiens OX=9606 GN=MEX3A PE=1 SV=1",-0.348927250672087,"not"
